s,10분전부산대강수량,현재부산대강수량,10분전신천교강수량,현재신천교강수량,현재세병교수위,30분뒤수위,날짜
0.96,0.96259084,0.96523864,0.9678122,0.97029444,0.9726068,0.96,2014-03-05 21:40
0.96,0.96259084,0.96523864,0.9678122,0.97029444,0.9726068,0.96,2013-12-15 20:30
1.13,1.12721697,1.12456587,1.12218495,1.12012207,1.11836565,1.12,2014-06-05 3:10
1.1,1.0981653,1.0964493,1.0949427,1.0936819,1.0926435,1.07,2015-09-02 11:50
0.97,0.97227473,0.97461083,0.97689295,0.97910783,0.98118085,0.99,2016-11-29 7:50
0.96,0.96259084,0.96523864,0.9678122,0.97029444,0.9726068,0.96,2013-12-17 5:00
1.05,1.04974585,1.04958835,1.04953895,1.04961495,1.04977325,1.05,2016-09-14 6:50
1.05,1.04974585,1.04958835,1.04953895,1.04961495,1.04977325,1.04,2016-03-27 18:20
1.03,1.03037807,1.03084397,1.03137745,1.03198817,1.03262515,1.05,2014-09-11 8:30
1.05,1.04974585,1.04958835,1.04953895,1.04961495,1.04977325,1.06,2013-07-29 9:40
0.96,0.96259084,0.96523864,0.9678122,0.97029444,0.9726068,0.96,2014-12-08 19:20
0.98,0.98195862,0.98398302,0.9859737,0.98792122,0.9897549,0.97,2014-02-04 1:30
1.01,1.01101029,1.01209959,1.01321595,1.01436139,1.01547705,1,2014-06-30 20:50
0.96,0.96259084,0.96523864,0.9678122,0.97029444,0.9726068,0.95,2015-02-28 15:10
0.99,0.99164251,0.99335521,0.99505445,0.99673461,0.99832895,0.98,2016-11-10 5:40
0.96,0.96259084,0.96523864,0.9678122,0.97029444,0.9726068,0.96,2014-01-09 0:50
1.08,1.07879752,1.07770492,1.0767812,1.07605512,1.0754954,1.01,2014-10-12 10:40
1.22,1.21437198,1.20891558,1.2039117,1.19944258,1.1955321,1.22,2015-04-14 0:30
1.03,1.03037807,1.03084397,1.03137745,1.03198817,1.03262515,1.03,2014-07-02 17:30
1.08,1.07879752,1.07770492,1.0767812,1.07605512,1.0754954,1.08,2013-05-14 21:30
